"key","url","username","title","description","favicon","tag1","tag2","tag3","tag4","tag5"
"-100","https://medium.com/product-hunt/use-these-8-marketing-tools-to-grow-your-startup-a8ed3eca91ce#.s7r2jkf1o","Xiaoyun Yang","8 Marketing Tools to Grow The Startup","","Reading","Marketing","traction","tools","NULL","NULL"
"-101","https://medium.com/@cdixon/the-internet-economy-fc43f3eff58a#.wtx80zt1u","Xiaoyun Yang","The Internet Economy - Where the money is","","Reading","Fundraising","business","NULL","NULL","NULL"
"-102","https://medium.com/building-a-startup/5-ways-to-write-better-emails-and-get-more-replies-c3bb72e39001#.vmxknou05","Xiaoyun Yang","How to Write Emails To Get Better Reply Rates","","Reading","Marketing","traction","learning","email","NULL"
"-103","http://www.advergize.com/marketing/brands/120-list-of-slogans-from-information-technology-companies/","Xiaoyun Yang","Slogan Ideas","A slogan is a mini mission statement","Reading","Marketing","resources","idea","NULL","NULL"
"-104","https://medium.com/product-hunt/11-must-have-resources-tools-for-freelancers-d4cb381c08c3#.prs4ei3wv","Xiaoyun Yang","Freelancer tools from Product Hunt","","Reading","Engineering","business","resources","freelance","NULL"
"-105","https://99deductions.com/","Xiaoyun Yang","99 Deductions","","Reading","business","legal","learning","NULL","NULL"
"-106","http://fundersandfounders.com/how-startup-valuation-works/","Xiaoyun Yang","Seed Funding Guide with infographics","How valuation for seed funding is calculated and how much money to ask for at seed funding.","Reading","Fundraising","business","NULL","NULL","NULL"
"-107","https://who.is/whois/looseleaf.com","LooseLeaf","Domain name for looseleaf - WHOIS lookup","Interested domain names: looseleaf.com (unlikely to get), mylooseleaf.com (inactive), looseleaf.io (inactive)","Website","Marketing","business","SEO","NULL","NULL"
"-108","https://support.google.com/domains/answer/3251242?hl=en&ref_topic=4490872","LooseLeaf","How to pick a domain nam","Do not pick .us because you won't be able to keep your information private at WHOIS","Reading","Marketing","business","SEO","NULL","NULL"
"-109","http://onewomanshop.com/2015/100-best-sites-for-solopreneurs/","Xiaoyun Yang","Best sites for solopreneurs","","Website","resources","business","NULL","NULL","NULL"
"-110","https://uxplanet.org/how-to-craft-effective-registration-f27caf633936?source=email-be1991002264-1471000178885-digest.reader------0&sectionName=tag&gi=37d7a02465a1","LooseLeaf","How to craft effective registration / login","The registration form","Reading","Design","UX","NULL","NULL","NULL"
"-111","https://www.quora.com/search?q=slogan+startups","LooseLeaf","Slogan for your startup","from Quora","Discussion","Marketing","business","Fundraising","NULL","NULL"
"-112","https://medium.com/the-coffeelicious/never-read-another-marketing-book-again-this-17-minute-post-will-make-you-a-world-class-marketer-41aff644e7fa#.xnbfqlrq0","LooseLeaf","Step-by-step marketing","10 years of experience; lessons learned","Reading","Marketing","business","learning","NULL","NULL"
"-113","https://medium.com/shopify-ux/product-vs-marketing-illustration-7ac474dfe2ed#.5zp5p0nao","LooseLeaf","Product and Marketing Illustration","The language of illustration and how it's applied differently between product and marketing. Scene illustrations vs. spot illustrations vs. icons.","Reading","Marketing","UX","learning","Design","NULL"
"-114","https://www.moo.com/us/startup-business-toolkit/","LooseLeaf","startup business toolkit","from moo.com ","Reading","Marketing","resources","NULL","NULL","NULL"
"-115","https://moz.com/beginners-guide-to-seo","LooseLeaf","SEO beginner guide","from moz - pretty comprehensive tutorial for SEO","Reading","Marketing","SEO","learning","NULL","NULL"
"-116","https://www.entrepreneur.com/article/225155","LooseLeaf","10 Questions VCs ask during seed round","This is a guide to prepare you for a pitch","Reading","Fundraising","NULL","NULL","NULL","NULL"
"-117","http://fundersandfounders.com/how-startup-valuation-works/","LooseLeaf","How Startup Valuation Work","Explainer infographics","Image","Fundraising","NULL","NULL","NULL","NULL"
"-118","http://the-social-entrepreneur.com/tools-and-resources/","LooseLeaf","The social-entrepreneur tools and resources","","Website","resources","business","tools","NULL","NULL"
"-119","https://medium.mybridge.co/21-amazing-open-source-ios-apps-written-in-swift-5e835afee98e?source=email-be1991002264-1472123294085-digest.reader------1-3&sectionName=recommended&gi=21b39a6cecf8","LooseLeaf","Open source projects for mobile apps built in swift","","Reading","Engineering","template","mobile","NULL","NULL"
"-120","https://medium.com/shopify-ux/building-a-new-illustration-style-for-shopify-2b25dcf14117#.39cugls8l","Xiaoyun Yang","building new illustration style for shopify","The thought process behind picking a new design. Plenty of inspiration.","Reading","Design","UX","idea","NULL","NULL"
"-121","https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d#.um4m167p1","Xiaoyun Yang","50 Useful Mental Models","My favorite includes: ""Arguing from first principles"", ""Confirmation bias"",  ""growth mindset vs. fixed mindset"", which is relevant for learning","Reading","business","reference","NULL","NULL","NULL"
"-122","http://www.ibm.com/design/thinking/keys/hills/","Xiaoyun Yang","Design Thinking from IBM","awesome tutorial","Reading","Design","reference","NULL","NULL","NULL"
"-123","https://code-cartoons.com/a-cartoon-intro-to-redux-3afb775501a6#.kigpedpgo","Xiaoyun Yang","A Cartoon Intro to Redux","Featuring a stick figure of Moss from IT crowd ","Image","frontend","learning","NULL","NULL","NULL"
