key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-25,https://medium.com/@xiaoyunyang/i-found-another-way-to-deal-with-procrastination-25db8d3a2d7f#.my0vxjj0n,Xiaoyun Yang,How I deal with Procrastination by Going on Autopilot,"I responded to a Medium article by James Altucher on ""10 Ways I Deal with My Own Procrastination""",Reading,life,productivity,NULL,NULL,NULL
-26,https://medium.com/thelist/stop-equating-women-in-tech-with-engineers-e928e9fa1db5#.97l2zkru1,Xiaoyun Yang,Sexism in Silicon Valley,The problem is not with the pipeline. The reason women are scarse in tech is not because they are graduating from engineering programs fast enough.,Reading,diversity,tech,NULL,NULL,NULL
-27,https://thebillfold.com/why-women-earn-less-in-their-own-words-4bde9f556559#.98tusb1no,The Billfold,"Why women Earn Less, in their own words",The reasons women give for not asking for a raise.,Reading,gender,equality,diversity,NULL,NULL
-28,https://medium.com/reactive-programming/what-is-reactive-programming-bc9fa7f4a7fc#.jnsw5jo6p,Xiaoyun Yang,Reactive Programming - What and why,The principles of reactive programming and why use it,Reading,FP,software,NULL,NULL,NULL
-29,http://www.infoworld.com/article/2840235/application-development/9-cutting-edge-programming-languages-worth-learning-next.html,Xiaoyun Yang,Functional Programming in Industry,Why you should learn functional programming and what are the languages to learn,Reading,FP,scala,NULL,NULL,NULL
-30,https://medium.com/@milankinen/containers-are-dead-long-live-observable-combinators-2cb0c1f06c96#.65vh5ub20,Xiaoyun Yang,Functional Reactive Programming with Observer Pattern,How to use Bacon.js and ReactJS to build observer combinator components,Reading,FP,frontend,learning,NULL,NULL
-31,http://www.vinaysahni.com/best-practices-for-a-pragmatic-restful-api,Xiaoyun Yang,Best practice for RESTful API,How to design URI for RESTful web services,Reading,restful,webapp,software,NULL,NULL
-32,https://www.linkedin.com/pulse/20141208023559-947775-reactive-programming-using-rxjava-and-akka,Xiaoyun Yang,Reactive Programmng using RxJava and Akka,An intro of the reactive programming paradigm and a discussion about the differences between event driven concurrency and actor based concurrency.,Reading,FP,reactive,NULL,NULL,NULL
-33,http://blog.arkitex.co.za/?p=134,Xiaoyun Yang,Reactive applications and an intro to event driven architecture,Why switch from event driven to message driven concurrency,Reading,FP,reactive,NULL,NULL,NULL
-34,http://berb.github.io/diploma-thesis/original/055_events.html,Xiaoyun Yang,Event Driven Concurrency Theory,,Reading,software,theory,NULL,NULL,NULL
-35,http://berb.github.io/diploma-thesis/original/054_actors.html,Xiaoyun Yang,Actor-based Concurrency,The actor model has its theoretical roots in concurrency modeling and message passing,Reading,software,theory,NULL,NULL,NULL
-36,https://www.filosophy.org/projects/hearts/,Xiaoyun Yang,Heart Art by filosophy.org,,Image,datavis,art,NULL,NULL,NULL
-37,https://www.filosophy.org/projects/mondrian/,Xiaoyun Yang,Mondrian Generator by filosophy.org,,Image,datavis,art,NULL,NULL,NULL
-38,http://bl.ocks.org/mbostock/1153292,Xiaoyun Yang,Mobile Patent Suits Visualization,Directed Graph datavis created by Mike Botstock,Interactive,datavis,D3,NULL,NULL,NULL
-39,http://rcs.seerinteractive.com/money/,Xiaoyun Yang,How Do Companies Make Money,I think this is made with isotope,Interactive,startup,business,tech,NULL,NULL
-40,https://facebook.github.io/react/docs/events.html#form-events,Xiaoyun Yang,ReactJS Form Event List,,Code,frontend,webapp,learning,NULL,NULL
-41,https://www.youtube.com/watch?v=GzCvlFRISIM,TED,Consciousness is a mathematical pattern,"What is consciousness - it's not the particles, but rather, the patterns that really matter.",Video,philosophy,AI,NULL,NULL,NULL
-42,http://oli.me.uk/2015/09/09/d3-within-react-the-right-way/,Xiaoyun Yang,Integrate D3 with React,Both libraries manipulates the DOM. Takeaway is that D3 should not be able to manipulate a DOM element that React created. But do the elements D3 require React's DOM reconciliation?,Reading,frontend,D3,reactjs,learning,javascript
